PKEY;SUCURSAL;CIF;DENCOM;DENFIS;DIRECCION;POBLACION;PROVINCIA;CP;PAIS;TFNO1;MOVIL;EMAIL;REFERENCIA;ENCARGADO;AGENTE;GRUPO;ACTIVIDAD;ZONA;RUTA;FPAGO;PERIODICIDAD;DIA1;DIA2;DIA3;DIA4;IBAN;BIC_SWIFT;CCONTABLE;EMAILFACTURACION;AGENTE_TECNICO_EXTERNO
1;1;B66555885;ServiPrueba;ECOSOFT CONSULTING SL - PROGRAMACION;Avda. Portugal, 45;Gijón;Asturias;33201;1;900000000;;hola@saaddemo.com;;;0;0;0;0;3;3;1;0;0;0;0;;;43000011;;0
50;1;09546325Z;Marta;MARTA TOME ALVAREZ;Uria,m 34 - 6º Dcha;Oviedo;Asturias;33100;1;985666321;654987123;direccion@saaddemo.com;;;0;0;0;1;0;0;0;0;0;0;0;;;41000003;;0
51;1;09564215X;Julia;JULIA ALVAREZ FERNANDEZ;Avda. América, 33 - 5ºDcha;Oviedo;Asturias;33103;1;641253689;;admon@saaddemo.com;;;0;0;0;1;0;0;0;0;0;0;0;;;41000004;;0
52;1;09385652L;Fran;FRANCISCO PÉREZ ALVAREZ;Tomas Zarracina, 25 - 11º A;Oviedo;Asturias;33105;1;698996633;;fran@saaddemo.com;;;54;0;0;1;0;0;0;0;0;0;0;;;43010000;;54
53;1;96968654X;Manuel;MANUEL GÓMEZ GÓMEZ;Avda. del Cristo, 26 - 3ºC;Oviedo;Asturias;33104;1;658888999;;manuel@saaddemo.com;;;0;0;0;1;0;0;0;0;0;0;0;;;41000006;;0
54;2;71701175D;Maria Cuesta;MARIA CUESTA;Avenida de Castilla 22;Gijón;Asturias;33202;4;965958512;;comunicacion@ecosoft.es;;;50;17;0;1;0;0;0;0;0;0;0;;;43010000;mcuesta@ecosoft.es,comunicacion@ecosoft.es;100
59;1;11122233P;CRISTINA;CRISTINA;Avenida de las Palmeras 25;Gijón;Asturias;33000;1;;;;;;54;21;0;1;0;0;0;0;0;0;0;;;;;54
101;1;B33555214;Ferretería Real;FERRETERÍA LA REAL, S.L.;Augusta, 33 - Bajo;Oviedo;Asturias;33106;1;985635601;;info@ferreterialareal.com;;;50;0;0;0;0;1;2;0;0;0;0;;;40000001;empleo@ecosoft.es;0
102;1;B33556889;(TO) TODO PAPEL;TODO PAPEL MATERIAL DE OFICINA, S.L.;POL. Asipo, Edifio I - Bajo 33;Llanera;Asturias;33428;1;985202020;641213540;oficina@todopapel.com;;;50;0;0;4;0;0;0;0;0;0;0;;;43000002;;0
111;1;66666666Q;Maira;MAIRA GOMEZ TUYA;Principal, 12 - 6ºIzda;La Corredoria;Asturias;33101;1;985985985;;maira@saaddemo.com;;;53;0;0;1;0;0;0;0;0;0;0;;;41000007;;1
150;1;B00153201;Comunidad Constitución 35;COMUNIDAD CONSTITUCION 35, C.B.;Avda. Constitución 35;Gijón;Asturias;33204;1;;654003221;;;Juan Pablo Gomez;0;0;0;0;0;3;1;0;0;0;0;;;43000008;;1
1021;0;B83757674;ALAVA REYES CONSULTORES, SL;ALAVA REYES CONSULTORES, SL;C/ ARTURO SORIA 329  6? E;MADRID;MADRID;28033;1;915910014;;info@alavareyes.es;ALAVAREYES;;0;0;0;0;0;4;3;0;0;0;0;ES2002362151235412354123;;43001090;mamoran@alavareyes.com,info@alavareyes.es;1
25212;1;A33543547;EDP ENERGIA, S.A.U.;EDP ENEDP ENERGIA, S.A.U.ERGIA, S.A.U.;PLAZA DE LA GESTA, 2;OVIEDO;ASTURIAS;33007;1;902333001;;empresas@edpenergia.es;;;50;0;0;0;0;3;1;0;0;0;0;;;41000001;;50
25213;1;A33564221;AXA SEGUROS;AXA SEGUROS, S.A.;Madrid, 33 - Entlo;Madrid;Madrid;28500;1;900200200;;atencionalcliente@axaseguros.es;;;50;0;0;0;0;0;0;0;0;0;0;;;41000014;;50
25214;1;A08663619;LA CAIXA;CAIXA BANK, S.A.;AVDA. Constitución, 19;Gijón;Asturias;33208;1;985189000;;atencionalcliente@lacaixa.es;;;50;0;0;0;0;3;1;0;0;0;0;;;41000011;;50
25216;1;B33555447;informatica ovetense;INFORMATICA OVETENSE, S.L.;Campoamor, 33 - Bajo;Oviedo;Asturias;33101;1;985963963;;info@informaticaovetense.es;;;50;0;0;0;0;3;2;0;0;0;0;;;41000013;;50
