PKEY;SUCURSAL;CIF;DENCOM;DENFIS;DIRECCION;POBLACION;PROVINCIA;CP;PAIS;TFNO1;MOVIL;EMAIL;REFERENCIA;ENCARGADO;AGENTE;GRUPO;ACTIVIDAD;ZONA;RUTA;FPAGO;PERIODICIDAD;DIA1;DIA2;DIA3;DIA4;IBAN;BIC_SWIFT;CCONTABLE;EMAILFACTURACION;AGENTE_TECNICO_EXTERNO
1;1;B66555885;ServiPrueba;ECOSOFT CONSULTING SL - PROGRAMACION;Avda. Portugal, 45;Gijón;Asturias;33201;1;900000000;;hola@saaddemo.com;;;0;0;0;0;3;3;1;0;0;0;0;;;43000011;;0
2;1;;CENTRO DE DIA SERVIPRUEBA;SERVIPRUEBA, S.L.;Avda. Portugal, 45;Gijón;Asturias;33201;1;900000000;;centrodedia@saaddemo.com;;;0;0;0;0;0;3;1;0;0;0;0;;;43001108;;0
52;1;09385652L;Fran;FRANCISCO PÉREZ ALVAREZ;Tomas Zarracina, 25 - 11º A;Oviedo;Asturias;33105;1;698996633;;fran@saaddemo.com;;;54;0;0;1;0;0;0;0;0;0;0;;;43010000;;54
54;2;71701175D;Maria Cuesta;MARIA CUESTA;Avenida de Castilla 22;Gijón;Asturias;33202;4;965958512;;comunicacion@ecosoft.es;;;50;17;0;1;0;0;0;0;0;0;0;;;43010000;mcuesta@ecosoft.es,comunicacion@ecosoft.es;100
65;1;;MANU;MANU;;;;;1;;;web.man@ecosoft.es;;;54;0;0;0;0;0;0;0;0;0;0;;;43001110;manupuente98@gmail.com,web.monica@ecosoft.es,manupuente98gmail.com,web.man@ecosoft.es;54
66;1;00000000T;CRISTIAN; CRISTIAN;Plaza Julio Alberto Blanco. Poligono de Asipo III, PORTAL 1, BAJO, Travesía Segunda;Cayés;Asturias;33428;1;;;cristian@saaddemo.com;;;54;0;0;1;0;0;0;0;0;0;0;;;43010000;cristian@ecosoft.es;54
100;1;B00213654;Comunidad Uría 24;COMUNIDAD DE VECINOS URIA 24;Uria, 24;Oviedo;Asturias;33101;1;985999666;658888901;antoniogomez@gmail.com;;;52;0;0;0;0;1;1;17;27;0;0;;;43000001;empleo@ecosoft.es;0
102;1;B33556889;(TO) TODO PAPEL;TODO PAPEL MATERIAL DE OFICINA, S.L.;POL. Asipo, Edifio I - Bajo 33;Llanera;Asturias;33428;1;985202020;641213540;oficina@todopapel.com;;;50;0;0;4;0;0;0;0;0;0;0;;;43000002;;0
103;1;76253214A;Francisco García Pérez;FRANCISCO  GARCÍA PÉREZ;C/Central  nº2 4B;Oviedo;Asturias;3428;1;985000000;;sat1@ecosoft.es;;;0;0;0;0;0;3;1;0;0;0;0;;;43000003;sat@ecosoft.es,sat1@ecosoft.es;1
106;1;10000000B;Gonzalez García;GONZALEZ GARCÍA;C/ Bilbao nº3 3ºD;Barcelona;BARCELONA;28048;1;933000000;;micliente@ecosoft.es;;;50;2;0;0;0;3;2;1;5;0;0;ES8200000000000000000000;;43000004;micliente@ecosoft.es;1
107;1;07523652F;Manuel Fernandez;MANUEL FERNANDEZ EGEA;C/ Julio Albert Blanco nº2  2ºB;Oviedo;Asturias;33015;1;666555444;650000000;pepito@hotmail.com;;;0;0;0;0;0;3;1;0;0;0;0;;;43000005;;1
108;1;A24665012;Hermanos Juan Garcia;ALMACENES HERMANOS JUAN GARCIA, S.A.;C/ Los almendros  nº12  3E;Madríd;Madrid;28080;1;913665544;TELEFONO MOVIL;admon@hermanosjuangarcia.com;;;52;4;2;0;0;3;1;0;0;0;0;;;43000006;admon@almaceneshermanosjuangarcia.com,admon@hermanosjuangarcia.com;1
109;1;;ALBERTO;GONZALEZ;;;;;1;;;alberto@saaddemo.com;;;53;0;0;0;0;0;0;0;0;0;0;;;43001116;alberto@saaddemo.com;53
110;1;04212599B;Julio Tatas;JULIO TATAS HERNANDEZ;Avda. Constitución, 112 - 3ºA;Gijón;Asturias;33205;1;985231314;;;;;0;0;0;1;0;3;1;0;0;0;0;ES6210101010101010101010;;43000007;empleo@ecosoft.es;1
150;1;B00153201;Comunidad Constitución 35;COMUNIDAD CONSTITUCION 35, C.B.;Avda. Constitución 35;Gijón;Asturias;33204;1;;654003221;;;Juan Pablo Gomez;0;0;0;0;0;3;1;0;0;0;0;;;43000008;;1
151;1;10568975S;Distribuciones Peláez;MÓNICA SÁNCHEZ PELÁEZ;C/ de la avenida. 8 - BAJO;Gijón;Asturias;33456;1;985336699;636221001;monica@distribucionespelaez.com;;;0;0;0;0;0;3;1;0;0;0;0;ES6210101010101010101010;;43000009;monica@distribucionespelaez.com;1
152;1;09365658N;Pablo Rodriguez;PABLO RODRIGUEZ FEITO;Asturias Nº14, Bajo 1;Oviedo;Asturias;33004;1;985232636;;;;;0;0;0;0;0;3;1;0;0;0;0;ES0030230254025402542122;;43000010;;1
153;1;A33256562;Asturiana de Distribuciones;ASTURIANA DE DISTRIBUCIONES, S.A.;Pol. Tremañes, Nave 5;Gijón;Asturias;33218;1;985781414;;administracion@asturianadedistribuciones.es;;;0;0;0;0;0;3;1;0;0;0;0;ES6210101010101010101010;;43001096;administracion@asturianadedistribuciones.es;1
154;1;B33568001;ASD DESIG;ASD DESIG, S.L.;Matemático Pedralles, 33 - 4ºIzda;Oviedo;Asturias;33016;1;985632621;;info@asddesig.com;;;0;0;0;0;1;4;1;0;0;0;0;;;43001097;info@asddesig.com;1
378;1;B00153201;Comunidad Constitución 38;COMUNIDAD CONSTITUCION 38, C.B.;Avda. Constitución 35;Gijón;Asturias;33204;1;;;;;;0;0;0;0;0;3;1;0;0;0;0;ES6210101010101010101010;;43010000;;1
1000;1;B85632121;ACTION CAPITAL;ACTION CAPITAL, S.L.;CONDE DE XIQUENA, 13 - 7ºDcha.;Madrid;Madrid;28004;1;913000221;;info@actioncapital.com;;ANTONIO RUBIAL;0;0;0;0;0;3;1;0;0;0;0;ES2800496127192195034811;;43015309;info@actioncapital.com;0
1020;1;B86222310;TOM Proyectos;TOM PROYECTOS, S.L.;Castellana, 156;MADRID;MADRID;28001;1;915632000;;tom@tomproyectos.com;;;0;1;1;1;0;3;1;5;0;0;0;ES6210101010101010101010;;43015520;tom@tomproyectos.com;0
1021;0;B83757674;ALAVA REYES CONSULTORES, SL;ALAVA REYES CONSULTORES, SL;C/ ARTURO SORIA 329  6? E;MADRID;MADRID;28033;1;915910014;;info@alavareyes.es;ALAVAREYES;;0;0;0;0;0;4;3;0;0;0;0;ES2002362151235412354123;;43001090;mamoran@alavareyes.com,info@alavareyes.es;1
