PKEY;ESTADO;NIVELCONTROL;SUCURSAL;SERIE;CODOPERACION;FECHA;AGENTE;REFERENCIA;ENTIDAD;ENTIDAD_NOMBRE;FORMAPAGO;FORMAPAGO_DES;PERIODICIDAD;PERIODICIDAD_DES;TOTALBRUTO;TOTALDTO;TOTALBASE;TOTALIVA;TOTALNETO;CIF_DNI;DOCENTIDAD;FECHADOCENTIDAD;TRANSPORTISTA;TRANSPORTE_FECHA_ENTREGA_ESTIMADA;TRANSPORTE_FECHA_ENTREGA_EFECTIVA;DEPARTAMENTO;DEPARTAMENTO_DESCRIPCION;TOTALTRANSPORTE;ETIQUETA
2;6;6;1;A;2;03/01/2020 17:34:00;50;;25219;SerAgua;3;DOMICILIACION LA CAIXA;1;A LA VISTA;112;0;112;23,52;135,52;A03221325;1200;03/01/2020 0:00:00;0;;;0;;0;
3;6;6;1;A;3;03/01/2020 17:35:00;50;;25214;LA CAIXA;3;DOMICILIACION LA CAIXA;1;A LA VISTA;35;0;35;7,35;42,35;A08663619;333;03/01/2020 0:00:00;0;;;0;;0;
4;6;6;1;A;4;04/01/2020 17:37:00;50;;25214;LA CAIXA;3;DOMICILIACION LA CAIXA;1;A LA VISTA;35;0;35;7,35;44,17;A08663619;333;04/01/2020 0:00:00;0;;;0;;0;
5;6;6;1;A;5;03/01/2020 17:38:00;50;;102;(TO) TODO PAPEL;3;DOMICILIACION LA CAIXA;1;A LA VISTA;89,36;0;89,36;18,77;108,13;B33556889;20200001;03/01/2020 0:00:00;0;;;0;;0;
6;6;6;1;A;6;03/01/2020 17:39:00;50;;102;(TO) TODO PAPEL;3;DOMICILIACION LA CAIXA;1;A LA VISTA;89,36;0;89,36;18,77;112,78;B33556889;20200001;03/01/2020 0:00:00;0;;;0;;0;
7;6;6;1;A;7;08/01/2020 17:40:00;50;;25215;ecoSoft Consulting;3;DOMICILIACION LA CAIXA;1;A LA VISTA;145;0;145;30,45;175,45;B33567579;20200598;08/01/2020 0:00:00;0;;;0;;0;
8;6;6;1;A;8;07/01/2020 17:41:00;50;;25216;informatica ovetense;3;DOMICILIACION LA CAIXA;2;30 DIAS;79;0;79;16,59;95,59;B33555447;20200025;07/01/2020 0:00:00;0;;;0;;0;
9;6;6;1;A;9;02/01/2020 17:42:00;50;;25213;AXA SEGUROS;3;DOMICILIACION LA CAIXA;1;A LA VISTA;945;0;945;0;945;A33564221;202001000;02/01/2020 0:00:00;0;;;0;;0;
10;6;6;1;A;10;02/01/2020 17:43:00;50;;25218;Martin Gomez [alquiler];3;DOMICILIACION LA CAIXA;1;A LA VISTA;1500;0;1500;315;1815;09656021T;1;02/01/2020 0:00:00;0;;;0;;0;
11;6;6;1;A;11;09/01/2020 17:44:00;50;;25217;TelecomPrincipado;3;DOMICILIACION LA CAIXA;1;A LA VISTA;374,63;0;374,63;78,67;453,3;B33410001;20201000;09/01/2020 0:00:00;0;;;0;;0;
15;6;6;1;A;15;01/01/2020 17:51:00;50;ENERO;53;Manuel;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;96968654X;ENERO;01/01/2020 0:00:00;0;;;0;;0;
16;6;6;1;A;16;02/02/2020 0:00:00;50;FEBRERO;111;Maira;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;66666666Q;FEBRERO;02/02/2020 0:00:00;0;;;0;;0;
17;2;2;1;A;1;05/02/2020 10:22:00;50;AYUDAS;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;733;0;733;29,32;765,99;B33666547;P1;05/02/2020 0:00:00;0;;;0;;0;
18;6;6;1;A;31;03/03/2020 10:31:00;50;MARZO;50;Marta;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;2100;0;2100;0;2100;09546325Z;MARZO;02/03/2020 0:00:00;0;;;0;;0;
21;6;6;1;A;17;02/02/2020 0:00:00;50;;25219;SerAgua;3;DOMICILIACION LA CAIXA;1;A LA VISTA;112;0;112;23,52;135,52;A03221325;1200;02/02/2020 0:00:00;0;;;0;;0;
23;6;6;1;A;19;02/02/2020 0:00:00;50;;25214;LA CAIXA;3;DOMICILIACION LA CAIXA;1;A LA VISTA;35;0;35;7,35;44,17;A08663619;333;02/02/2020 0:00:00;0;;;0;;0;
24;6;6;1;A;20;02/02/2020 0:00:00;50;;102;(TO) TODO PAPEL;3;DOMICILIACION LA CAIXA;1;A LA VISTA;89,36;0;89,36;18,77;108,13;B33556889;20200001;02/02/2020 0:00:00;0;;;0;;0;
25;6;6;1;A;21;02/02/2020 0:00:00;50;;102;(TO) TODO PAPEL;3;DOMICILIACION LA CAIXA;1;A LA VISTA;230,2;0;230,2;48,34;278,54;B33556889;20200001;02/02/2020 0:00:00;0;;;0;;0;
26;6;6;1;A;22;02/02/2020 0:00:00;50;;25215;ecoSoft Consulting;3;DOMICILIACION LA CAIXA;1;A LA VISTA;145;0;145;30,45;175,45;B33567579;20200598;02/02/2020 0:00:00;0;;;0;;0;
27;6;6;1;A;23;02/02/2020 0:00:00;50;;25216;informatica ovetense;3;DOMICILIACION LA CAIXA;2;30 DIAS;79;0;79;16,59;95,59;B33555447;20200025;02/02/2020 0:00:00;0;;;0;;0;
28;6;6;1;A;24;02/02/2020 0:00:00;50;;25220;EL PARKING;3;DOMICILIACION LA CAIXA;1;A LA VISTA;26;0;26;5,46;31,46;A28636352;2020555501;02/02/2020 0:00:00;0;;;0;;0;
29;6;6;1;A;25;02/02/2020 0:00:00;50;;25218;Martin Gomez [alquiler];3;DOMICILIACION LA CAIXA;1;A LA VISTA;1500;0;1500;315;1815;09656021T;2;02/02/2020 0:00:00;0;;;0;;0;
31;6;6;1;A;27;02/02/2020 0:00:00;50;FEBRERO;50;Marta;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;2100;0;2100;0;2100;09546325Z;FEBRERO;02/02/2020 0:00:00;0;;;0;;0;
32;6;6;1;A;28;02/02/2020 0:00:00;50;FEBRERO;51;Julia;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1720;0;1720;0;1720;09564215X;FEBRERO;02/02/2020 0:00:00;0;;;0;;0;
33;6;6;1;A;29;02/02/2020 0:00:00;50;FEBRERO;52;Fran;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;09385652L;FEBRERO;02/02/2020 0:00:00;0;;;0;;0;
34;6;6;1;A;30;02/02/2020 0:00:00;50;FEBRERO;53;Manuel;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;96968654X;FEBRERO;02/02/2020 0:00:00;0;;;0;;0;
35;6;6;1;A;33;02/03/2020 11:03:00;50;MARZO;52;Fran;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;09385652L;MARZO;02/03/2020 0:00:00;0;;;0;;0;
37;6;6;1;A;35;10/03/2020 11:06:00;50;;25217;TelecomPrincipado;3;DOMICILIACION LA CAIXA;1;A LA VISTA;374,63;0;374,63;78,67;472,78;B33410001;20201003;10/03/2020 0:00:00;0;;;0;;0;
39;6;6;1;A;37;03/03/2020 12:43:00;50;;25212;EDP ENERGIA, S.A.U.;3;DOMICILIACION LA CAIXA;1;A LA VISTA;150,35;0;150,35;31,57;189,74;A33543547;12000003;02/03/2020 0:00:00;0;;;0;;0;
40;6;6;1;A;38;03/03/2020 12:46:00;50;;25219;SerAgua;3;DOMICILIACION LA CAIXA;1;A LA VISTA;112;0;112;23,52;141,34;A03221325;1203;02/03/2020 0:00:00;0;;;0;;0;
41;6;6;1;A;39;03/03/2020 12:47:00;50;;25214;LA CAIXA;3;DOMICILIACION LA CAIXA;1;A LA VISTA;35;0;35;7,35;44,17;A08663619;3333;02/03/2020 0:00:00;0;;;0;;0;
42;6;6;1;A;40;03/03/2020 12:48:00;50;;25214;LA CAIXA;3;DOMICILIACION LA CAIXA;1;A LA VISTA;35;0;35;7,35;44,17;A08663619;33333;02/03/2020 0:00:00;0;;;0;;0;
43;6;6;1;A;41;03/03/2020 12:49:00;50;;25215;ecoSoft Consulting;3;DOMICILIACION LA CAIXA;1;A LA VISTA;145;0;145;30,45;182,99;B33567579;20200725;02/03/2020 0:00:00;0;;;0;;0;
44;6;6;1;A;42;03/03/2020 12:50:00;50;;25216;informatica ovetense;3;DOMICILIACION LA CAIXA;2;30 DIAS;79;0;79;16,59;99,7;B33555447;20200042;02/03/2020 0:00:00;0;;;0;;0;
46;2;2;1;A;2;14/03/2020 12:51:00;50;ANDADOR;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;65;0;65;2,6;67,93;B33666547;001;14/03/2020 0:00:00;0;;;0;;0;
47;2;2;1;A;3;24/03/2020 12:59:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;132,5;0;132,5;27,83;167,22;B33666547;;24/03/2020 0:00:00;0;;;0;;0;
48;3;4;1;A;2;13/03/2020 13:02:00;50;ANDADOR;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;65;0;65;2,6;67,6;B33666547;001;14/03/2020 0:00:00;0;;;0;;0;
49;6;5;1;A;1;24/03/2020 0:00:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;798;0;798;31,92;833,91;B33666547;001;14/03/2020 0:00:00;0;;;0;;0;
50;2;2;1;A;4;25/03/2020 13:05:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;46,9;0;46,9;1,88;49,01;B33666547;111;25/03/2020 0:00:00;0;;;0;;0;
51;2;2;1;A;5;02/04/2020 13:07:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;3,25;0;3,25;0,13;3,4;B33666547;333;02/04/2020 0:00:00;0;;;0;;0;
52;0;2;1;A;6;07/04/2020 13:09:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;24,5;0;24,5;0,98;25,6;B33666547;3333;07/04/2020 0:00:00;0;;;0;;0;
53;0;2;1;A;7;13/04/2020 13:11:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;28,73;0;28,73;1,15;30,02;B33666547;PED04;13/04/2020 0:00:00;0;;;0;;0;
54;3;4;1;A;3;02/04/2020 13:22:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;132,5;0;132,5;27,83;167,22;B33666547;;24/03/2020 0:00:00;0;;;0;;0;
55;3;4;1;A;4;06/04/2020 13:22:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;46,9;0;46,9;1,88;49,01;B33666547;111;25/03/2020 0:00:00;0;;;0;;0;
56;6;5;1;A;2;25/03/2020 0:00:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;179,4;0;179,4;29,71;216,23;B33666547;111;25/03/2020 0:00:00;0;;;0;;0;
202;6;6;1;A;43;10/04/2020 16:39:00;50;;25217;TelecomPrincipado;3;DOMICILIACION LA CAIXA;1;A LA VISTA;374,63;0;374,63;78,67;453,3;B33410001;20201004;10/04/2020 0:00:00;0;;;0;;0;
262;6;6;1;A;44;03/01/2020 17:20:00;50;;25212;EDP ENERGIA, S.A.U.;3;DOMICILIACION LA CAIXA;1;A LA VISTA;150,35;0;150,35;31,57;181,92;A33543547;12000003;03/01/2020 0:00:00;0;;;0;;0;
263;6;6;1;A;45;04/02/2020 17:21:00;50;;25212;EDP ENERGIA, S.A.U.;3;DOMICILIACION LA CAIXA;1;A LA VISTA;422;0;422;88,62;510,62;A33543547;12000003;04/02/2020 0:00:00;0;;;0;;0;
264;6;6;1;A;46;02/04/2020 17:22:00;50;;25212;EDP ENERGIA, S.A.U.;3;DOMICILIACION LA CAIXA;1;A LA VISTA;150,35;0;150,35;31,57;181,92;A33543547;12000048;02/04/2020 0:00:00;0;;;0;;0;
265;6;6;1;A;47;05/05/2020 17:24:00;50;;25212;EDP ENERGIA, S.A.U.;3;DOMICILIACION LA CAIXA;1;A LA VISTA;150,35;0;150,35;31,57;181,92;A33543547;12000103;05/05/2020 0:00:00;0;;;0;;0;
266;6;6;1;A;48;04/02/2020 17:23:00;50;;25219;SerAgua;3;DOMICILIACION LA CAIXA;1;A LA VISTA;112;0;112;23,52;135,52;A03221325;1204;02/04/2020 0:00:00;0;;;0;;0;
267;6;6;1;A;49;04/05/2020 17:24:00;50;;25219;SerAgua;3;DOMICILIACION LA CAIXA;1;A LA VISTA;112;0;112;23,52;135,52;A03221325;1205;02/05/2020 0:00:00;0;;;0;;0;
268;6;6;1;A;50;04/02/2020 17:26:00;50;;25217;TelecomPrincipado;3;DOMICILIACION LA CAIXA;1;A LA VISTA;374,63;0;374,63;78,67;453,3;B33410001;20201042;09/02/2020 0:00:00;0;;;0;;0;
269;6;6;1;A;51;05/02/2020 17:27:00;50;;25214;LA CAIXA;3;DOMICILIACION LA CAIXA;1;A LA VISTA;35;0;35;7,35;42,35;A08663619;25632;05/02/2020 0:00:00;0;;;0;;0;
270;6;6;1;A;52;03/03/2020 17:27:00;50;;25218;Martin Gomez [alquiler];3;DOMICILIACION LA CAIXA;1;A LA VISTA;1500;0;1500;315;1815;09656021T;2;02/03/2020 0:00:00;0;;;0;;0;
271;6;6;1;A;53;20/04/2020 17:28:00;50;;25218;Martin Gomez [alquiler];3;DOMICILIACION LA CAIXA;1;A LA VISTA;1500;0;1500;315;1815;09656021T;2;02/04/2020 0:00:00;0;;;0;;0;
272;6;6;1;A;54;05/05/2020 17:28:00;50;;25218;Martin Gomez [alquiler];3;DOMICILIACION LA CAIXA;1;A LA VISTA;1500;0;1500;315;1815;09656021T;2;05/05/2020 0:00:00;0;;;0;;0;
273;6;6;1;A;55;07/02/2020 17:28:00;50;REPARACION;25224;Talleres el Real;4;TRANSFERENCIA LA CAIXA;2;30 DIAS;4250;0;4250;892,5;5142,5;B33968574;;07/02/2020 0:00:00;0;;;0;;0;
274;6;6;1;A;56;10/01/2020 17:30:00;50;ENERO;50;Marta;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;2100;0;2100;0;2100;09546325Z;ENERO;02/01/2020 0:00:00;0;;;0;;0;
275;6;6;1;A;57;07/02/2020 17:29:00;50;;25225;REPSOL;2;TARJETA LA CAIXA;1;A LA VISTA;98;0;98;20,58;118,58;A28235658;A123456AA;07/02/2020 0:00:00;0;;;0;;0;
276;6;6;1;A;58;15/02/2020 17:30:00;50;;25225;REPSOL;2;TARJETA LA CAIXA;1;A LA VISTA;98;0;98;20,58;118,58;A28235658;A12345334;15/02/2020 0:00:00;0;;;0;;0;
277;6;6;1;A;59;10/01/2020 17:31:00;50;ENERO;51;Julia;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1720;0;1720;0;1720;09564215X;ENERO;01/01/2020 0:00:00;0;;;0;;0;
278;6;6;1;A;60;18/02/2020 17:31:00;50;;25225;REPSOL;2;TARJETA LA CAIXA;1;A LA VISTA;98;0;98;20,58;118,58;A28235658;A12345321A;18/02/2020 0:00:00;0;;;0;;0;
279;6;6;1;A;61;02/02/2020 17:32:00;50;FEBRERO;25223;Maria Roblades;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;05642630V;FEBRERO;02/02/2020 0:00:00;0;;;0;;0;
280;6;6;1;A;62;02/01/2020 17:32:00;50;ENERO;52;Fran;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;09385652L;ENERO;02/01/2020 0:00:00;0;;;0;;0;
281;3;4;1;A;5;18/02/2020 17:33:00;50;AYUDAS;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;4860;0;4860;697,6;5557,6;B33666547;123456;01/02/2020 0:00:00;0;;;0;;0;
282;6;6;1;A;63;20/03/2020 17:35:00;50;MARZO;51;Julia;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1720;0;1720;0;1720;09564215X;MARZO;02/03/2020 0:00:00;0;;;0;;0;
283;6;6;1;A;64;20/03/2020 17:35:00;50;MARZO;53;Manuel;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;96968654X;MARZO;02/03/2020 0:00:00;0;;;0;;0;
284;6;5;1;A;3;20/02/2020 17:36:00;50;AYUDAS;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;4860;0;4860;697,6;5557,6;B33666547;123456;20/02/2020 0:00:00;0;;;0;;0;
285;6;6;1;A;65;20/03/2020 17:36:00;50;MARZO;111;Maira;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;66666666Q;MARZO;02/03/2020 0:00:00;0;;;0;;0;
286;6;6;1;A;66;20/03/2020 17:37:00;50;MARZO;25223;Maria Roblades;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;05642630V;MARZO;02/03/2020 0:00:00;0;;;0;;0;
287;3;4;1;A;6;20/02/2020 17:36:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;5592;0;5592;622,5;6214,5;B33666547;142254;20/02/2020 0:00:00;0;;;0;;0;
288;6;6;1;A;67;20/04/2020 17:37:00;50;ABRIL;25223;Maria Roblades;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;05642630V;ABRIL;02/04/2020 0:00:00;0;;;0;;0;
289;6;6;1;A;68;20/04/2020 17:38:00;50;ABRIL;52;Fran;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;09385652L;ABRIL;02/04/2020 0:00:00;0;;;0;;0;
290;6;6;1;A;69;20/04/2020 17:39:00;50;ABRIL;53;Manuel;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;96968654X;ABRIL;01/04/2020 0:00:00;0;;;0;;0;
291;6;6;1;A;70;20/04/2020 17:39:00;50;ABRIL;50;Marta;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;2100;0;2100;0;2100;09546325Z;ABRIL;02/04/2020 0:00:00;0;;;0;;0;
292;6;6;1;A;71;02/04/2020 17:39:00;50;ABRIL;111;Maira;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;66666666Q;ABRIL;02/04/2020 0:00:00;0;;;0;;0;
293;6;5;1;A;4;28/02/2020 17:40:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;5592;0;5592;622,5;6214,5;B33666547;133254;26/02/2020 0:00:00;0;;;0;;0;
294;6;6;1;A;72;01/04/2020 17:40:00;50;ABRIL;51;Julia;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1720;0;1720;0;1720;09564215X;ABRIL;01/04/2020 0:00:00;0;;;0;;0;
295;6;6;1;A;73;02/05/2020 17:41:00;50;MAYO;51;Julia;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1720;0;1720;0;1720;09564215X;MAYO;02/05/2020 0:00:00;0;;;0;;0;
296;6;6;1;A;74;20/05/2020 17:42:00;50;MAYO;25223;Maria Roblades;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;05642630V;MAYO;02/05/2020 0:00:00;0;;;0;;0;
297;6;6;1;A;75;20/05/2020 17:43:00;50;MAYO;111;Maira;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;66666666Q;MAYO;02/05/2020 0:00:00;0;;;0;;0;
298;6;6;1;A;76;05/05/2020 17:45:00;50;MAYO;52;Fran;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;09385652L;MAYO;02/05/2020 0:00:00;0;;;0;;0;
300;6;6;1;A;77;05/05/2020 17:46:00;50;MAYO;53;Manuel;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;1645;0;1645;0;1645;96968654X;MAYO;02/05/2020 0:00:00;0;;;0;;0;
302;6;6;1;A;78;05/05/2020 17:47:00;50;MAYO;50;Marta;4;TRANSFERENCIA LA CAIXA;1;A LA VISTA;2100;0;2100;0;2100;09546325Z;MAYO;02/05/2020 0:00:00;0;;;0;;0;
305;6;6;1;A;79;20/02/2020 17:48:00;50;;25220;EL PARKING;3;DOMICILIACION LA CAIXA;1;A LA VISTA;32;0;32;0;32;A28636352;2020555572;18/02/2020 0:00:00;0;;;0;;0;
317;6;5;1;a;5;16/02/2020 18:08:00;50;;101;Ferretería Real;1;CONTADO;2;30 DIAS;521,3;75,59;445,71;93,6;539,31;B33555214;15422;16/02/2020 0:00:00;0;;;0;;0;
359;6;5;1;A;6;25/04/2020 19:38:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;26,5;0;26,5;5,57;32,07;B33666547;2020045;01/04/2020 0:00:00;0;;;0;;0;
365;3;4;1;A;7;25/06/2020 20:44:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;235,02;0;235,02;49,35;284,37;B33666547;43022211;25/06/2020 0:00:00;0;;;0;;0;
366;6;5;1;A;7;26/06/2020 20:45:00;50;;25211;GerMater;3;DOMICILIACION LA CAIXA;2;30 DIAS;235,02;0;235,02;49,35;284,37;B33666547;43022211;26/06/2020 0:00:00;0;;;0;;0;
