PKEY;SUCURSAL;CIF;DENCOM;DENFIS;DIRECCION;POBLACION;PROVINCIA;CP;PAIS;TFNO1;MOVIL;EMAIL;REFERENCIA;ENCARGADO;AGENTE;GRUPO;ACTIVIDAD;ZONA;RUTA;FPAGO;PERIODICIDAD;DIA1;DIA2;DIA3;DIA4;IBAN;BIC_SWIFT;CCONTABLE;EMAILFACTURACION;AGENTE_TECNICO_EXTERNO
43013625;1;B94a3477;quiero dar de alta una entidad;;calle real 1;oviedo;asturias;33001;1;600123123;;guided.real@example.com;;;0;-1;-1;0;0;0;0;0;0;0;0;;;;;0
43013626;1;B9025777;GUIDED_REAL_0257c2;;calle real 1;oviedo;asturias;33001;1;600123123;;guided.real@example.com;;;0;-1;-1;0;0;0;0;0;0;0;0;;;;;0
43013627;1;B98d3077;GUIDED_REAL_8d30a2;;calle real 1;oviedo;asturias;33001;1;600123123;;guided.8d30a2@example.com;;;0;-1;-1;0;0;0;0;0;0;0;0;;;;;0
43013628;1;B9128777;GUIDED_REAL_47f42c;;calle real 1;oviedo;asturias;33001;1;600123123;;guided.47f42c@example.com;;;0;-1;-1;0;0;0;0;0;0;0;0;;;;;0
43013629;1;C9128766;GUIDED_MIN_47f42c;;;;;;1;;;;;;0;-1;-1;0;0;0;0;0;0;0;0;;;;;0
43013630;1;B9530777;GUIDED_REAL_8a3bc4;;calle real 1;oviedo;asturias;33001;1;600123123;;guided.8a3bc4@example.com;;;0;-1;-1;0;0;0;0;0;0;0;0;;;;;0
43013631;1;C9530766;GUIDED_MIN_8a3bc4;;;;;;1;;;;;;0;-1;-1;0;0;0;0;0;0;0;0;;;;;0
43013633;1;B9610777;GUIDED_REAL_5d3705;;calle real 1;oviedo;asturias;33001;1;600123123;;guided.5d3705@example.com;;;0;-1;-1;0;0;0;0;0;0;0;0;;;;;0
43013634;1;C9610766;GUIDED_MIN_5d3705;;;;;;1;;;;;;0;-1;-1;0;0;0;0;0;0;0;0;;;;;0
43013636;1;78978978A;INSTALACIONES_MARTINEZ_28ea;;calle falsa numero 10;oviedo;asturias;33054;1;654654658;;;;;0;-1;-1;0;0;0;0;0;0;0;0;;;;;0
