PKEY;SUCURSAL;CIF;DENCOM;DENFIS;DIRECCION;POBLACION;PROVINCIA;CP;PAIS;TFNO1;MOVIL;EMAIL;REFERENCIA;ENCARGADO;AGENTE;GRUPO;ACTIVIDAD;ZONA;RUTA;FPAGO;PERIODICIDAD;DIA1;DIA2;DIA3;DIA4;IBAN;BIC_SWIFT;CCONTABLE;EMAILFACTURACION;AGENTE_TECNICO_EXTERNO
1;1;B66555885;ServiPrueba;ECOSOFT CONSULTING SL - PROGRAMACION;Avda. Portugal, 45;Gijón;Asturias;33201;1;900000000;;hola@saaddemo.com;;;0;0;0;0;3;3;1;0;0;0;0;;;43000011;;0
52;1;09385652L;Fran;FRANCISCO PÉREZ ALVAREZ;Tomas Zarracina, 25 - 11º A;Oviedo;Asturias;33105;1;698996633;;fran@saaddemo.com;;;54;0;0;1;0;0;0;0;0;0;0;;;43010000;;54
101;1;B33555214;Ferretería Real;FERRETERÍA LA REAL, S.L.;Augusta, 33 - Bajo;Oviedo;Asturias;33106;1;985635601;;info@ferreterialareal.com;;;50;0;0;0;0;1;2;0;0;0;0;;;40000001;empleo@ecosoft.es;0
271;1;;proveedor;PROVEEDOR;;;;;1;;;;;;54;0;0;0;0;0;0;0;0;0;0;;;40000764;;54
347;2;;mi proveedor;MI PROVEEDOR;;;;;1;;;;;;54;0;0;0;0;0;0;0;0;0;0;;;;;54
487;1;;Proveedor;PROVEEDOR;;;;;1;;;;;;59;0;0;0;0;0;0;0;0;0;0;;;40000765;;59
25211;1;B33666547;GerMater;MATERIAL GERIATRICO PRINCIPADO, S.L.;Pol. Industrial 33, Nave, 34;Gijón;Asturias;33209;1;985630200;;admin@germater.com;;;50;0;0;0;0;3;2;0;0;0;0;;;40000002;;50
25241;1;B12345678;MANUEL GONZALEZ;MANUEL GONZALEZ SANZ;GRAN VIA, 1;BILBAO;BIZKAIA;48001;1;;;tortex_@hotmail.com;;;25265;13;0;0;0;3;2;0;0;0;0;ES2421002332100200057008;;43001105;tortex_@hotmail.com,javitortex@gmail.com;25240
25245;1;;prueba intra;PRUEBA INTRA;;;;;4;;;;;;54;0;0;0;0;0;0;0;0;0;0;;;40000003;;54
25252;1;47000000Y;Javier Play;JAVIER PLAY;avenida del mar, 50;Oviedo;Asturias;33011;1;12345678;;sat@ecosoft.es;;;25229;0;0;0;0;0;0;0;0;0;0;ES6210101010101010101010;;43001106;sat@ecosoft.es;25229
25255;1;A20597464;SALDAÑA;EDICIONES SALDAÑA,S.A;P0L.LINTZIRIN-GAINA, PARCELA B-3;OYARZUN;GUIPUZCOA;20180;1;943493208;;;;;54;0;0;0;0;3;6;0;0;0;0;ES6210101010101010101010;;40000168;;54
25257;1;78945612K;jaimito;JAIMITO;Calle Ezcurdia 47, 3ºF;Bilbao;Vizcaya;48007;1;666777888;;;;;54;0;0;0;0;4;1;0;0;0;0;;;40000170;;54
25261;1;87654321X;Cristian Sánchez;CRISTIAN SÁNCHEZ;Plaza Julio Alberto Blanco. Poligono de Asipo III, PORTAL 1, BAJO;Cayés;Asturias;33428;4;985980890;;sat@ecosoft.es;;;0;17;0;2;0;1;2;0;0;0;0;ES6210101010101010101010;;43001114;crism425@gmail.com;0
200458;1;;AMAZON EU SARL;AMAZON EU SARL;VIA DE LAS DOS CASTILLAS, 33 ATICO ED.2;28224;MADRID;28224;1;;;;;;115;0;0;0;0;0;0;0;0;0;0;;;40000756;;115
200459;1;888555;ENTIDAD EXTERNA - ALEMANIA;ENTIDAD EXTERNA;Dirección de mi cliente;Llanera;BERLIN;;4;;;;;;59;0;0;0;0;0;0;0;0;0;0;;;40000459;;59
200460;1;78523695Q;ENTIDAD FRANCIA;ENTIDAD FRANCIA;;;PARIS;;79;;;;;;59;0;0;0;0;0;0;0;0;0;0;;;43010000;;59
200477;1;;prueba alquiler;PRUEBA ALQUILER;;;;;1;;;;;;59;0;0;0;0;0;0;0;0;0;0;;;40000463;;59
200486;1;;REAG;REAG; ;;;;1;;;;;;59;0;0;3;0;0;0;0;0;0;0;;;43010000;crism425@gmail.com;59
200488;1;;AYUNTAMIENTO;AYUNTAMIENTO;PLAZA MAYOR;MADRID;MADRID;;1;;;mariacuesta.r@gmail.com;;;59;0;0;3;0;0;0;0;0;0;0;;;43010000;crism425@gmail.com;59
200494;1;;ADUANAS;ADUANAS;;;;;4;;;;;;54;0;0;0;0;0;0;0;0;0;0;;;43010000;;54
43013558;1;B12345679;JUAN GÓMEZ;JUAN GÓMEZ;;;;;1;;;mariacuesta.r@gmail.com;;;25229;0;0;0;0;0;0;0;0;0;0;;;43010000;JUAN@CLIENTE.COM,mariacuesta.r@gmail.com;25229
43013559;1;;recargo equivalencia;RECARGO EQUIVALENCIA;;;;;1;;;;;;59;0;0;0;0;0;0;0;0;0;0;;;;;59
43013560;1;;PRUEBA CUENTA;PRUEBA CUENTA;;;;;1;;;;;;54;0;0;0;0;0;0;0;0;0;0;;;40000772;;54
43013632;1;123444555F;Abundio gascón;;5;oviedo;asturias;33011;1;622090010;;dirtribucunes@javi.com;;;0;-1;-1;0;0;0;0;0;0;0;0;;;;;0
